TrackID,ParentID,ParticleName,ParticleID,InitProcName,InitVol,InitKEne,InitPosX,InitPosY,InitPosZ,InitTime,FinProcName,FinKEne,FinPosX,FinPosY,FinPosZ,FinVol,FinTime
1,0,gamma,22,Generator,physWorld,0.5,0,0,-150,0,phot,0,0.188957,-0.307831,-94.9442,physRadiator,184.227
3,1,e-,11,phot,physRadiator,0.274628,0.188957,-0.307831,-94.9442,184.227,NoProcess,0,0.194723,-0.320694,-94.9518,physRadiator,184.298
2,1,e-,11,compt,physRadiator,0.134838,0,0,-95.2316,182.688,NoProcess,0,-0.00205414,0.00334641,-95.2278,physRadiator,182.717
